"","title","movieInfo","point","review"
"1","비스티걸스","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=151152&target=after","2","주제는 좋았지만 연기자들 연기가 몰입을 너무 방해했습니니다. "
"2","포인트 브레이크","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=122473&target=after","1","진짜 개연성 무엇 ㅋㅋㅋ 영상미 밖에 볼게 없는 영화. 스토리라인은 중학교 동아리에서 만든 수준 "
"3","나는 나를 해고하지 않는다","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=194074&target=after","10","영화가 끝나고 나서도 쓰디 쓴 현실이 와닿았습니다. 박대리와 막내 같은 노동자들이 부당하지 않게, 안전하게 일할 수 있는 노동환경이 되었으면 좋겠습니다. "
"4","베스트셀러","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=70397&target=after","10","평점이 왜이리 낮지 , 트리플 반전 "
"5","오복성","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=15846&target=after","7","형제들의 그당시 나름 재미있는 콩트와 중간중간 버무려진 액션 충분히 괜찮은 오락 영화임 개인적으로 성룡의 비중이 더 높았으면 하는 아쉬 "
"6","더블패티","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196361&target=after","7","감독님. 다좋고 그런데 타이밍이 안좋았던거 같습니다...배우 선택부터 코로나 등등...다음번에는 번창하십쇼 화이팅.. "
"7","미드소마","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=182014&target=after","6","이거는 추천못하겠다 다른 사람에게 "
"8","뷰티 인 더 글라스","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=182806&target=after","10","언젠가는 지금을 살아가고 있는 남자들, 좀더 정확히는 아버지 세대들이 겪게 될지도 모를 일. 일상에서 현실과 마주하게 될 고뇌라고 해야 하나? 좀 더 멀리 보자면 가까운 미래에 가정에서 겪게 될것 같은 일이다. 생각보다 유쾌하지는 않은데? 남자만이 짊어지고 가야 할 인생의 짐이 아니라 가족이 풀어헤쳐나가야 할 숙제라고 보고 싶다. "
"9","디지몬 어드벤처 라스트 에볼루션 : 인연","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=192613&target=after","10","어른이 되면서 안될거라고 안된다고 한계짓고 나자신이 타협해가면서 살아가는데 디지몬이 그걸 왜 반성하게 하는거냐고...;;진짜..ㅠㅠ "
"10","사랑이 지나간 자리","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=146736&target=after","8","사랑이 지나간 자리에도 여전히 사랑의 잔해가 남아 살아갈 힘을 주었다 "
"11","리틀 포레스트","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=154449&target=after","10","농촌 판타지. 그곳은 저리 따뜻하고 마냥 힐링이 있는 그런곳이 아님. 뭐 어쨌든. 김태리가 농사짓는 그곳은 어딥니꽈~~~?? "
"12","극장판 귀멸의 칼날: 무한열차편","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=196051&target=after","10","원작보다 훨 나았음. 쿠키없는건 좀 아쉬웠지만 "
"13","천장지구","https://movie.naver.com/movie/point/af/list.nhn?st=mcode&sword=11003&target=after","8","흠...개연성도 부족하고 중후반까지 재미도 없는데 결말과 유덕화 비주얼이 쌉발라 버리는 영화....옛날 영화라 그런지 전개가 좀 부자연스러웠음 "
